Location Code,Name,Street,City,State,Country,Zipcode,Color
beabec17333c9a6087ef6eff26f53d9f,"""Percorsi dell'arte 2.0"", Smart Campus","Piazza del Duomo, 18",Trento,Trentino-alto Adige,Italy,38100,red
d9ff0e558dce233ed97e266ff5f8cb2e,"""Il lento sciogliersi del ghiaccio"", Federico Seppi",piazza Garzetti,Trento,,Italy,,purple
639f6726c76f19f1e38436c6a528dc7d,"""Al di là della barriera"", Daniele Ottobrino",passaggio Teatro Osele,Trento,,Italy,,purple
4ae654c168010b161766082e546be1df,"""Sacred Circle"", Michele Ojas Azzaro","Via Clementino Vannetti, 14",Trento,,Italy,38122,purple
8a624895be4675642a0734f910c5fbe7,"""Pittura in Movimento"", Linda Brindisi","piazza Lodron, Trento",Trento,,Italy,38122,purple
20b3b470693eba0ce3e4509fe5388fc1,"""Galileo al Muse"", Liceo Galileo Galilei",Via Garibaldi,Trento,,Italy,38122,purple
898246b1515bda1672334c429bb46908,"""Relitti scolpiti dal tempo"", Maria Cristina Ballestracci","Via S. Croce, 77",Trento,,Italy,38122,purple
8824b1e776ee3182298a384849a176a9,"""Umwelten (disgelo)"", Adriano  Siesser","Via S. Croce, 67",Trento,,Italy,38122,purple
d2e2659ad160643415decc054ec44b66,"""Sculture Lumnidinamiche"", Angelo Paparcuri","Via Rodolfo Belenzani, 3",Trento,,Italy,38122,purple
ac57b74346187b8e7c8cadcc3bcf4e6c,"""Cowman of the world"", Luminita Taranu",Stazione ferroviaria TN,Trento,,Italy,38122,purple
fbfd6b0e0d12623d73141904705ebe6a,"""CON_TATTO, segni di una pelle che avvicina"", Massimo Papi e Alessio Gismondi","via Tommaso Gar, 14",Trento,,Italy,38122,purple
217e7d980415bfc8ad7a8b407d005ddd,"""Il giardino di domani"", Manuela Carrano",Via Rodolfo Belenzani,Trento,,Italy,38122,purple
749dd1225c9fd6a3351bb4660d86efcf,"""Ghiacciai"", Oscar Fontanesi","Piazza Cesare Battisti, 28",Trento,,Italy,38100,purple
f576ed0207884c167a6264ff382bc0ea,"""La piramide olografica"", Gerardine Rachele Cipriani","Via Rodolfo Belenzani, 19",Trento,,Italy,38122,purple
ea57988aa414119ac7f3e8ac16e6b16f,"""5 tapes | sense converter"", Viviana Puecher - Associazione Area Arte La Musa",Vicolo di Piedicastello,Trento,,Italy,38121,purple
9fa59b19cc651b4aaa6937e8c2b7a0cd,"""Misure e ritmi"", Giovanna Strada",Vicolo di Piedicastello,Trento,,Italy,38121,purple
06e6a47b8de14bc5a0b9d102a20bc728,"""WE"", Valentina Miorandi",Le Albere,Trento,,Italy,38122,purple
20b3b470693eba0ce3e4509fe5388fc1,"""Ecto Musica. Quando la creatività segue solo la via Estatica"", Fabio Bottaini",Via Garibaldi,Trento,,Italy,38122,purple
c3052cc8196dc3c0bdbe2b6bb11cab91,"""Antelegy"", Kuai Shen","Via Bernardo Clesio, 5",Trento,,Italy,38122,purple
